epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
0,0.488636,0.473449,0.015186,0.478730,0.448061,0.030670
1,0.469774,0.424391,0.045383,0.468092,0.412463,0.055629
2,0.465412,0.412388,0.053024,0.465785,0.411179,0.054606
3,0.464772,0.410503,0.054269,0.466378,0.412162,0.054216
4,0.464499,0.409407,0.055092,0.466774,0.416338,0.050436
5,0.464210,0.408777,0.055434,0.466230,0.408501,0.057729
6,0.464173,0.408497,0.055676,0.465540,0.408316,0.057224
7,0.463714,0.407746,0.055968,0.465969,0.409867,0.056102
8,0.463456,0.407396,0.056059,0.466349,0.413901,0.052448
9,0.463482,0.407396,0.056086,0.465088,0.409763,0.055324
10,0.463625,0.406764,0.056860,0.465612,0.404650,0.060962
11,0.463337,0.406898,0.056439,0.464384,0.409079,0.055305
12,0.463075,0.406869,0.056206,0.464370,0.408949,0.055422
13,0.463311,0.406404,0.056907,0.464824,0.406445,0.058379
14,0.463324,0.406025,0.057299,0.466792,0.411231,0.055562
15,0.463021,0.405786,0.057236,0.465857,0.411844,0.054013
16,0.463087,0.405653,0.057434,0.463270,0.406671,0.056599
17,0.462847,0.405352,0.057496,0.464567,0.408360,0.056207
18,0.463310,0.405288,0.058023,0.465085,0.406656,0.058429
19,0.463061,0.405004,0.058058,0.464327,0.405123,0.059204
20,0.463094,0.405036,0.058058,0.464399,0.408831,0.055567
21,0.462503,0.404604,0.057899,0.466585,0.411155,0.055430
22,0.462461,0.404419,0.058042,0.464463,0.405452,0.059011
23,0.462564,0.404373,0.058191,0.464596,0.408235,0.056362
24,0.462895,0.404398,0.058497,0.464610,0.409821,0.054789
25,0.462448,0.404009,0.058439,0.465058,0.406528,0.058530
26,0.462472,0.403992,0.058481,0.463376,0.406128,0.057248
27,0.462472,0.404016,0.058455,0.464874,0.407004,0.057870
28,0.462588,0.403809,0.058779,0.464664,0.407591,0.057073
29,0.462620,0.403850,0.058769,0.464354,0.406979,0.057375
30,0.462859,0.403995,0.058864,0.463599,0.403476,0.060123
31,0.462553,0.403638,0.058914,0.464254,0.405525,0.058729
